IMG_FNAME;IDX_POLY;ID_POLY;SATELITE;BEAM_MODE;CENTR_KM_LAT;CENTR_KM_LON;UTM_ZONE;AREA_KM2;PERIM_KM;COMPLEX_MEAS;SPREAD;SHP_FACT;HU_MOM1;HU_MOM2;HU_MOM3;HU_MOM4;HU_MOM5;HU_MOM6;HU_MOM7;CIRCULARITY;PERI_AREA_RATIO;FG_STD;FG_VAR;FG_MIN;FG_MAX;FG_MEAN;FG_MEDIAN;FG_VAR_COEF;BG_STD;BG_VAR;BG_MIN;BG_MAX;BG_MEAN;BG_MEDIAN;BG_VAR_COEF;FG_DARK_INTENS;FG_BG_KS_STAT;FG_BG_KS_RES;FG_BG_MW_STAT;FG_BG_MW_RES;FG_BG_RAT_ARI;FG_BG_RAT_QUA;AREA_KM_DS;PERIM_KM_DS;CLASSE;SUBCLASSE
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;12;SP00305GXS1;SENTINEL-1;IW;19.497715179352348;-92.1421796373448;15Q;0.033738604031596446;1.9786701333981842;116.04319767158817;1.204735217667232;9.23442426081159;3.132982545977482;7.351887847278547;14.454043181202046;13.88335621865964;-28.368196569146328;17.84100926277035;-28.10971336913955;0.10829045447302338;58.64706588171654;6.6585969678489265;44.336913580246915;17;46;32.455555555555556;33.0;0.2051604680268413;42.225249183970895;1782.9716686484346;29;255;69.7448275862069;59.0;0.6054248127831287;37.28927203065134;0.8475095785440613;DIFF;37991.0;DIFF;2.148933407312092;0.9547388074754837;0.0337386040316;1.9786701334;OIL SPILL;IDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;13;SP00306GXS1;SENTINEL-1;IW;19.52165343311689;-92.16357116884217;15Q;0.3058485516091634;9.009526678796538;265.3979250477988;1.2380361047637778;21.119695828844762;3.154270413740134;7.394473476320228;14.178670644632145;14.125288903345803;-28.372113006698736;-17.88462601507622;28.502838985437734;0.0473491667732366;29.457477014014433;8.665518386688394;75.09120891003461;10;55;29.066176470588236;29.0;0.2981306604071899;26.508693044083522;702.710806905442;18;255;77.52834861771203;74.0;0.34192258079423843;48.462172147123795;0.9232212632023825;DIFF;12099586.5;DIFF;2.6673046830277856;0.9770268867428213;0.305848551609;9.00952667879;OIL SPILL;IDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;14;SP00307GXS1;SENTINEL-1;IW;19.531812046219418;-92.1978215449729;15Q;0.21550180504560273;7.520339449007052;262.43634208225717;1.3746791065509012;20.884020544673408;3.156296449032861;7.399733686341712;14.303882764018779;14.183485532407564;28.446562241831025;17.89355812623155;-28.961353377008816;0.04788350010769626;34.89687451766661;8.256630491304747;68.17194706994329;9;60;30.339130434782607;31.0;0.2721445991688295;32.694129252392635;1068.9060875721557;24;255;75.87816954238559;70.0;0.4308766203714189;45.53903910760299;0.9206295052023876;DIFF;7596432.0;DIFF;2.501000142554985;0.9770834789292234;0.215501805046;7.520339449;OIL SPILL;IDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;15;SP00308GXS1;SENTINEL-1;IW;19.556512276487663;-92.18742090553363;15Q;0.21284734731771252;5.2817371046088795;131.06457371329762;2.7483118074412256;10.429787385351702;3.1491960141695605;7.378406328820243;14.850436840423056;14.482628563607541;29.153995926732833;18.178703168387788;-29.977768250364793;0.09587923157517741;24.814671975803144;9.527362055030416;90.7706277276334;6;53;26.797535211267604;26.0;0.3555312822585426;26.38511048984458;696.1740555613064;24;255;75.66438848920863;73.0;0.3487123998049315;48.86685327794103;0.9095830377951161;DIFF;1566632.0;DIFF;2.823557759797024;0.9746440654475835;0.212847347318;5.2817371046;OIL SPILL;IDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;16;SP00309GXS1;SENTINEL-1;IW;19.518046070420397;-92.20855731633563;15Q;0.11019561281859008;3.067198582214375;85.37279209314207;1.814155191092019;6.793750933590119;3.1250414765395176;7.324576823066378;14.396105933036633;13.49732548378864;27.604718130130298;17.258195738219047;27.584848618851378;0.14719409200825023;27.834126094146427;9.996070309370399;99.92142162987643;9;53;28.93877551020408;30.0;0.34542132944932974;15.286291725460412;233.67071471587948;28;107;61.67252396166134;60.0;0.2478622690221519;32.73374845145726;0.8534915563669557;DIFF;179726.5;DIFF;2.1311379930334313;1.0107668942478596;0.110195612819;3.06719858222;OIL SPILL;UNIDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;17;SP00310GXS1;SENTINEL-1;IW;19.513086561684986;-92.22200013004839;15Q;0.1356863708029515;3.37092738133895;83.7457096318291;1.2334325171721177;6.664271825322077;3.1324759349831197;7.351339813951275;13.501629112770075;12.996833140802686;26.772579027964344;17.63476978708774;-26.26618725201489;0.15005390329372872;24.84352231834934;8.986063437393017;80.74933610085162;7;53;25.718232044198896;25.0;0.34940440003611944;20.57634018160117;423.3857752689749;26;161;69.28433889602054;67.0;0.29698400113886353;43.566106851821644;0.9147476223235625;DIFF;559423.5;DIFF;2.6939775166873723;1.0072664672248466;0.135686370803;3.37092738134;OIL SPILL;UNIDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;18;SP00311GXS1;SENTINEL-1;IW;19.526974496714708;-92.22934112719162;15Q;0.07083556695625558;1.478034979485975;30.84026138921421;1.6546803793335283;2.454190023169782;3.0933201343983443;7.248152825769686;13.004961821518727;12.684252610128258;-26.70990190312201;-17.34575985856393;-25.529805225123457;0.4074664107339252;20.865718211851593;8.94262229702301;79.97049354721312;7;50;24.433862433862434;24.0;0.3659929870371046;21.097623164536433;445.10970319278425;25;122;65.47486033519553;61.0;0.3222247906529029;41.0409979013331;0.9238568177115664;DIFF;33530.0;DIFF;2.679677047066253;1.0526466042213696;0.0708355669563;1.47803497948;OIL SPILL;UNIDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;19;SP00312GXS1;SENTINEL-1;IW;19.58763340468921;-92.20573046273698;15Q;0.3679136931660306;6.763276907805597;124.32783933109609;1.2796709928980563;9.893695096739453;3.1052224928945042;7.290608654314507;13.820308256365044;13.97561292490754;27.94377365377094;17.95342755050082;28.15293697469272;0.101074471188177;18.38278116154131;10.385846401529715;107.86580547616775;7;62;24.426680244399186;23.0;0.42518452354617836;33.994092675451455;1155.598336827182;26;255;70.12557339449542;64.0;0.4847602811632747;45.69889315009623;0.8879463368149629;DIFF;1692952.5;DIFF;2.870859760428336;0.9864269227795781;0.367913693166;6.76327690781;OIL SPILL;IDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;20;SP00313GXS1;SENTINEL-1;IW;19.561402777880893;-92.22130287334322;15Q;0.3705928344753065;9.629654672077274;250.22137633812915;1.068865770197473;19.911984455735336;3.145279657021387;7.38247398163168;13.776416441417496;13.41025619461543;27.027232913027863;17.293199720069982;27.496855230430615;0.05022101148295973;25.984459968609894;10.92353970389158;119.32371966249573;7;57;24.490394337714864;23.0;0.44603363887324105;27.067268920362917;732.6370468072444;20;255;68.65110941086458;65.0;0.3942728552042789;44.16071507314972;0.88085665459192;DIFF;8917392.0;DIFF;2.803185137167956;0.9890375983578688;0.370592834475;9.62965467207;OIL SPILL;IDENTIFIED TARGET
19 S1B_IW_GRDH_1SDV_20200721T001515_8b.tif;21;SP00314GXS1;SENTINEL-1;IW;19.582152398804542;-92.22928109833971;15Q;0.47020623978413867;14.165317465694343;426.74086799873623;1.9089908589883025;33.95895928066244;3.1511185991672446;7.391629544928382;14.917612696041523;14.67868523189859;29.69083511214169;18.38449425319593;-29.57828653355538;0.029447309964220226;30.12575390789652;8.512251955751818;72.45843335820066;9;54;30.69641434262948;31.0;0.2773044389073962;22.91212153468662;524.9653132202503;7;255;67.34482758620689;64.0;0.340220954688127;36.64841324357741;0.8456788727497332;DIFF;13230011.5;DIFF;2.193898832434058;0.9692994439171787;0.470206239784;14.1653174657;OIL SPILL;UNIDENTIFIED TARGET
