ID_IMG;IMG_NAME;YEAR;MONTH;DAY;IDX_VECT;ID_VECT;IDX_POLYG;LOC_POL_BBOX_X1_DEG;LOC_POL_BBOX_X2_DEG;LOC_POL_BBOX_Y1_DEG;LOC_POL_BBOX_Y2_DEG;LOC_POL_BBOX_X1_M;LOC_POL_BBOX_X2_M;LOC_POL_BBOX_Y1_M;LOC_POL_BBOX_Y2_M;LOC_CENTR_KM_LAT;LOC_CENTR_KM_LON;SHP_AREA_KM2;SHP_PERIM_KM;SHP_COMPLEX_MEAS;SHP_SPREAD;SHP_FACT;SHP_CIRCUL;SHP_PER_AREA_RATIO;SHP_HU_MOM1;SHP_HU_MOM2;SHP_HU_MOM3;SHP_HU_MOM4;SHP_HU_MOM5;SHP_HU_MOM6;SHP_HU_MOM7;IN_STD;IN_VAR;IN_MIN;IN_MAX;IN_MEAN;IN_MEDIAN;IN_VAR_COEF;OUT_STD;OUT_VAR;OUT_MIN;OUT_MAX;OUT_MEAN;OUT_MEDIAN;OUT_VAR_COEF;TEXT_CONTR_GLCM;TEXT_HOMOG_GLCM;TEXT_ENTRO_GLCM;TEXT_CORREL_GLCM;TEXT_DISSIM_GLCM;TEXT_VAR_GLCM;TEXT_ENERGY_GLCM;TEXT_MEAN_GLCM;SLICK_DARKNESS;AREA_KM_DS;PERIM_KM_DS;CLASSE;SUBCLASSE
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;0;-92.04583200852672;-92.04493369324261;19.357276730000038;19.357815726764773;600213.2198668653;600307.5739170224;2140636.702599625;2140696.8705118066;2.1406685653248427;0.6002552952289077;0.004127300669488877;0.00030800825510985557;2.2985746087543076e-05;0.6376823473000928;0.0011985863049740898;1.829147555243837e-06;0.07462704556196027;3.0118389470053395;7.135083349425345;12.938636803076896;12.017099064545448;24.54870583934883;15.599193354134306;-24.82451558221634;2.626722840685397;6.89967288177836;-24.278839111328125;-16.180212020874023;-19.44784268465909;-18.25252914428711;-0.13506499837935323;2.1790705083533792;4.748348280375454;-22.96338653564453;-13.431539535522461;-18.058798603627874;-18.130300521850586;-0.12066530870528788;3.0;0.45999999999999996;2.9219280937332064;0.03846153846153851;1.4;0.00022144000000000005;0.37416573867739417;0.0016;1.0771314129056555;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;1;-92.04942526966317;-92.04906594;19.358714040000034;19.359073368162548;599834.9290552412;599872.8894749795;2140793.6809880645;2140833.653101849;2.1408136669480804;0.5998539091693632;0.001500820748485328;0.0001550145303173265;1.6010909120061547e-05;1.052994515338725;0.0010003408519119103;1.2741076649264519e-06;0.10328650538298573;2.98692144462051;6.998037687117766;13.179582222668035;12.814747386651838;25.854064389836065;16.403412953156565;-26.18861450230035;4.1672469999640285;17.365947558709195;-27.226858139038086;-15.62624740600586;-21.163257598876953;-20.899961471557617;-0.1969095249393537;2.3989248835596206;5.75484059696154;-23.21786880493164;-12.58545970916748;-18.077720905172413;-17.891845703125;-0.13270062615433112;38.666666666666664;0.03374505727446904;2.584962499855539;-0.7227722772277227;6.0;0.00026410666666666665;0.408248290463863;0.0016;1.1711551177175843;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;2;-92.04673032381083;-92.04583200000003;19.358175050000025;19.359432694276215;600117.8788854758;600212.8914793798;2140736.0097337407;2140874.9772778284;2.1408097387353973;0.6001720460393073;0.0052528712563299895;0.0004670665983907978;4.1529897971412684e-05;1.4626223574952724;0.001611092369547225;3.304844274126203e-06;0.08891643742990231;3.111463079379879;7.291215211675203;13.930362837306538;13.273910958437645;26.922484538802205;16.964360581408222;27.23379915227008;1.961620236594316;3.8479539526163404;-23.459577560424805;-16.778003692626953;-20.366744995117188;-20.40249252319336;-0.09631486214731924;2.2768758121842265;5.184163464109581;-25.565601348876953;-13.162585258483887;-17.801215704970474;-17.886205673217773;-0.12790563576781303;4.769230769230769;0.3475113122171946;4.623516637611278;0.23818525519848768;1.8461538461538463;6.371218934911244e-05;0.20351933162035313;0.0016;1.1445269627042134;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;3;-92.04978459577684;-92.04924560000003;19.359432689999988;19.359971683446663;599796.7505420848;599853.5816271226;2140873.1061946466;2140932.960526836;2.140903010927348;0.5998305028355501;0.0026264324213274644;0.00023252150113326473;2.058543294327002e-05;1.053197068993874;0.0011342793125832704;1.6381367043040838e-06;0.08853130933242995;3.027771698073238;7.107395174814229;11.923836162073837;11.623575211552428;23.399755017809582;15.181000252624104;-24.370183610144718;2.496147766270967;6.230753671059538;-23.47093963623047;-16.577322006225586;-20.50789533342634;-21.10268783569336;-0.12171642802381735;2.2372689790833715;5.005372484768752;-23.21694564819336;-13.435548782348633;-17.79803466796875;-17.5989990234375;-0.1257031476126856;8.666666666666668;0.18974358974358976;3.251629165945128;0.3035714285714286;2.666666666666667;0.00015053411385271363;0.33333333333333337;0.0013717421124828531;1.1526851122478528;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;4;-92.04619133464038;-92.04601166999997;19.362666619999956;19.36302595541267;600172.1862469398;600191.2761413937;2141232.9622022305;2141272.83091339;2.141252896264118;0.6001817311817932;0.0007504010056022264;0.00011727247790848632;1.8327312959501192e-05;2.0884720581293936;0.001070260276740581;1.4584412255483842e-06;0.15627974514022744;3.074655553833549;7.181808980363923;13.750568824125228;13.51406357776987;27.165064198833786;17.160673599867014;-27.688292351352985;2.298229217529297;5.281857536305324;-22.722047805786133;-18.12558937072754;-20.423818588256836;-20.423818588256836;-0.11252691104741397;2.807029109618634;7.879412422246383;-28.79427146911621;-13.160674095153809;-18.130198160807293;-17.534255981445312;-0.15482616818202743;16.0;0.058823529411764705;0.9999999997114609;-1.0;4.0;0.0008650414737654323;0.7071067811865476;0.001736111111111111;1.126858146523054;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;5;-92.04960493272006;-92.04924560000003;19.36482257999999;19.365361575151354;599812.3405146926;599850.2998752561;2141469.5737808673;2141529.4281961066;2.141495534664102;0.5998331742165663;0.0018759748852571639;0.00019477762284029934;2.0223257068879793e-05;1.5768025159196741;0.0011242568953780034;1.6093156639651669e-06;0.1038274149462287;3.0651925809527363;7.168693510072892;12.591938558099773;12.346638803114464;26.933214038113515;-17.271373519310774;-24.815940136731832;4.582006182018773;20.994780652058253;-30.252971649169922;-17.313507080078125;-23.42631378173828;-24.885583877563477;-0.19559228245250537;2.794254780990216;7.80785978108668;-27.184328079223633;-12.22021484375;-17.763424090485074;-17.88612937927246;-0.15730383774865514;15.5;0.17146263910969792;2.9999999988458437;-0.20388349514563106;3.5;0.0002783048215506914;0.3535533905932738;0.0022675736961451248;1.3196948067367211;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;6;-92.04852695437907;-92.04798796520862;19.367337860000013;19.368595510174234;599923.4795605675;599980.526448214;2141748.548640965;2141887.9324345295;2.141823580008596;0.5999496221413577;0.0056277734771279795;0.00042931699744703665;3.2750622434611444e-05;2.443319860469861;0.0014307039883089776;2.6062117249023674e-06;0.07628540828656982;3.1088150414064124;7.271633801383622;14.840235614167351;14.007422142969892;-28.738407728407847;-17.64884436443349;28.491715973704675;3.355460330817621;11.259114031690698;-27.35502052307129;-16.77530288696289;-21.1573974609375;-20.2299861907959;-0.15859513614624596;3.1885914117256298;10.167115190930446;-39.08066177368164;-12.8341703414917;-17.803562538296568;-17.309720993041992;-0.17909850373299005;8.57142857142857;0.38193050193050193;4.182005811874824;0.12408759124087591;2.142857142857143;8.838047315841713e-05;0.24743582965269675;0.0014792899408284023;1.188910530796639;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;7;-92.03990312765158;-92.03864547999996;19.368595509999977;19.369673488515136;600828.6656044391;600961.3058114273;2141893.2604847443;2142012.2395372195;2.141949471139749;0.6009012384465954;0.006753282882193824;0.000502769409561899;3.743025186427628e-05;0.8970059318873834;0.0015295066987487396;2.978604802687101e-06;0.0744481488977066;3.0780934217350944;7.242803878725406;13.08885666263179;12.627584653649002;25.967784506647988;16.45162465695302;-25.510781901416635;2.453089412630053;6.017647666357659;-26.65070152282715;-17.296289443969727;-20.007320827907986;-18.951053619384766;-0.1226095904459265;2.488917135365177;6.1947085067144;-27.579694747924805;-11.256431579589844;-17.57421875;-17.29644012451172;-0.14162320219015012;6.470588235294118;0.2621240351344158;4.087462838509219;0.13425925925925922;2.2352941176470584;8.830206107571378e-05;0.2564058202082749;0.0013717421124828531;1.1388422566859355;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;8;-92.03792683402648;-92.03720817999996;19.36967347999999;19.370392140742467;601035.7868589321;601111.5970988692;2142013.394825746;2142092.9241233766;2.1420498630502296;0.601076799975362;0.003376637621382575;0.0003100198946971386;2.846391762604108e-05;1.0490574584227261;0.0013337896579399494;2.2650865949724823e-06;0.09181319687192253;3.0641354406986268;7.19079510503253;12.884031435789854;12.536703234202037;26.03980081062428;16.587355980736902;-25.252785303377117;3.1593824133125388;9.98169723354856;-28.07668113708496;-17.294126510620117;-21.39563666449653;-21.06035041809082;-0.14766480020457404;2.903382784489044;8.429631593267354;-30.874378204345703;-13.489176750183105;-18.45313648897059;-17.984954833984375;-0.1573381731731292;6.875;0.37720588235294117;3.249999998557305;-0.34351145038167946;2.125;0.00015960903854907047;0.33071891388307384;0.0014792899408284023;1.1598912325238389;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
1;01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;2020;01;17;0;OS03000GXS1;9;-92.03792683402648;-92.03738784;19.37075146000001;19.371470119083362;601035.0116606076;601092.0631522234;2142132.583645142;2142212.2180812387;2.142171284350468;0.6010614468380767;0.003376618288686468;0.0002722798783554448;2.1955792991364582e-05;1.3958344267829705;0.001171425226790121;1.7471864920390322e-06;0.08063685470985348;3.0632042583901127;7.16539761285987;14.213835311256847;13.430899611118393;27.661907473861632;-17.86869995412176;27.289147713937858;1.1344717393943822;1.2870261274845152;-21.624176025390625;-17.517677307128906;-19.508595784505207;-19.88933753967285;-0.05815240378784421;2.1822119756893796;4.762049106842146;-26.2186222076416;-14.212507247924805;-18.05284387925092;-17.404678344726562;-0.12087912521071045;3.5;0.45;3.749999997980227;0.21678321678321677;1.5;0.00010528567611456401;0.2795084971874737;0.0013717421124828531;1.0808623301417455;1.34082662404;29.8906695243;SEEPAGE SLICK;CANTAREL
