CLASSE,CANTAREL,CLUSTER SEEPAGE,IDENTIFIED TARGET,ORPHAN SEEPAGE,UNIDENTIFIED TARGET
OIL SPILL,0,0,224,0,103
SEEPAGE SLICK,26,20,0,12,0
