CLASSE,CANTAREL,CLUSTER SEEPAGE,IDENTIFIED TARGET,ORPHAN SEEPAGE,UNIDENTIFIED TARGET
OIL SPILL,0.0,0.0,68.5,0.0,31.5
SEEPAGE SLICK,44.83,34.48,0.0,20.69,0.0
