SUBCLASSE,OIL SPILL,SEEPAGE SLICK
CANTAREL,0.0,100.0
CLUSTER SEEPAGE,0.0,100.0
IDENTIFIED TARGET,100.0,0.0
ORPHAN SEEPAGE,0.0,100.0
UNIDENTIFIED TARGET,100.0,0.0
