,IDX_POLY,IDX_POLY,IDX_POLY,IDX_POLY,IDX_POLY,IDX_POLY,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LON,CENTR_KM_LON,CENTR_KM_LON,CENTR_KM_LON,CENTR_KM_LON,CENTR_KM_LON,AREA_KM2,AREA_KM2,AREA_KM2,AREA_KM2,AREA_KM2,AREA_KM2,PERIM_KM,PERIM_KM,PERIM_KM,PERIM_KM,PERIM_KM,PERIM_KM,COMPLEX_MEAS,COMPLEX_MEAS,COMPLEX_MEAS,COMPLEX_MEAS,COMPLEX_MEAS,COMPLEX_MEAS,SPREAD,SPREAD,SPREAD,SPREAD,SPREAD,SPREAD,SHP_FACT,SHP_FACT,SHP_FACT,SHP_FACT,SHP_FACT,SHP_FACT,HU_MOM1,HU_MOM1,HU_MOM1,HU_MOM1,HU_MOM1,HU_MOM1,HU_MOM2,HU_MOM2,HU_MOM2,HU_MOM2,HU_MOM2,HU_MOM2,HU_MOM3,HU_MOM3,HU_MOM3,HU_MOM3,HU_MOM3,HU_MOM3,HU_MOM4,HU_MOM4,HU_MOM4,HU_MOM4,HU_MOM4,HU_MOM4,HU_MOM5,HU_MOM5,HU_MOM5,HU_MOM5,HU_MOM5,HU_MOM5,HU_MOM6,HU_MOM6,HU_MOM6,HU_MOM6,HU_MOM6,HU_MOM6,HU_MOM7,HU_MOM7,HU_MOM7,HU_MOM7,HU_MOM7,HU_MOM7,CIRCULARITY,CIRCULARITY,CIRCULARITY,CIRCULARITY,CIRCULARITY,CIRCULARITY,PERI_AREA_RATIO,PERI_AREA_RATIO,PERI_AREA_RATIO,PERI_AREA_RATIO,PERI_AREA_RATIO,PERI_AREA_RATIO,FG_STD,FG_STD,FG_STD,FG_STD,FG_STD,FG_STD,FG_VAR,FG_VAR,FG_VAR,FG_VAR,FG_VAR,FG_VAR,FG_MIN,FG_MIN,FG_MIN,FG_MIN,FG_MIN,FG_MIN,FG_MAX,FG_MAX,FG_MAX,FG_MAX,FG_MAX,FG_MAX,FG_MEAN,FG_MEAN,FG_MEAN,FG_MEAN,FG_MEAN,FG_MEAN,FG_MEDIAN,FG_MEDIAN,FG_MEDIAN,FG_MEDIAN,FG_MEDIAN,FG_MEDIAN,FG_VAR_COEF,FG_VAR_COEF,FG_VAR_COEF,FG_VAR_COEF,FG_VAR_COEF,FG_VAR_COEF,BG_STD,BG_STD,BG_STD,BG_STD,BG_STD,BG_STD,BG_VAR,BG_VAR,BG_VAR,BG_VAR,BG_VAR,BG_VAR,BG_MIN,BG_MIN,BG_MIN,BG_MIN,BG_MIN,BG_MIN,BG_MAX,BG_MAX,BG_MAX,BG_MAX,BG_MAX,BG_MAX,BG_MEAN,BG_MEAN,BG_MEAN,BG_MEAN,BG_MEAN,BG_MEAN,BG_MEDIAN,BG_MEDIAN,BG_MEDIAN,BG_MEDIAN,BG_MEDIAN,BG_MEDIAN,BG_VAR_COEF,BG_VAR_COEF,BG_VAR_COEF,BG_VAR_COEF,BG_VAR_COEF,BG_VAR_COEF,FG_DARK_INTENS,FG_DARK_INTENS,FG_DARK_INTENS,FG_DARK_INTENS,FG_DARK_INTENS,FG_DARK_INTENS,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_QUA,FG_BG_RAT_QUA,FG_BG_RAT_QUA,FG_BG_RAT_QUA,FG_BG_RAT_QUA,FG_BG_RAT_QUA,AREA_KM_DS,AREA_KM_DS,AREA_KM_DS,AREA_KM_DS,AREA_KM_DS,AREA_KM_DS,PERIM_KM_DS,PERIM_KM_DS,PERIM_KM_DS,PERIM_KM_DS,PERIM_KM_DS,PERIM_KM_DS
,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max
SUBCLASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTAREL,26,0.34615384615384615,0.0,0.891843380524078,0,3,26,19.372352180339757,19.384211688060027,0.05772613135944051,19.214223444054007,19.488407885094443,26,-92.15349052778892,-92.08104157371619,0.18077865954818045,-92.7263167120462,-91.96512500793612,26,16.247276595482443,9.44252073867819,20.717368729216773,0.2235858402620911,80.34525601831258,26,148.64945901543564,80.65512152630205,153.76966070896734,5.268042597938608,538.0647025163464,26,1613.0068541661067,1279.1117609350645,1313.7734448740825,124.12357053185512,4852.266523793549,26,0.7427868357413658,0.5683066724390224,0.6356129703806848,0.0952779241262629,2.890205008195408,26,128.3590070408219,101.78847975989711,104.54676892728895,9.877439902180129,386.13110123053553,26,3.143730780296582,3.1484932083658372,0.01697693685736357,3.081776213934756,3.159465647178527,26,7.396387423377563,7.41383709989676,0.046192343947774675,7.238819046029617,7.435580001706989,26,14.426201159032093,14.322801822548183,0.7172564432058208,12.693504949704836,15.798143620244096,26,13.980007907345264,13.811740025365197,0.7568197559755953,12.27936231726628,15.441464730118646,26,-8.923552757144599,-27.55365566498505,27.65831174051245,-30.6693171165423,30.470639254420004,26,1.2666902206502058,16.604920311666067,18.402658366568925,-19.430594401324477,19.770859393502707,26,-4.281359141909489,-26.973093494670145,28.800116949568803,-31.99616615515912,31.320460771440302,26,0.017143777920242794,0.009824428646147451,0.020525476019689112,0.002589793976225,0.1012408083373184,26,16.043077359043117,12.81032168350768,9.170821469721607,5.047137731156472,34.82119769286513,26,3.780477897312053,4.188334919667314,0.8722039734075139,2.2827358080963256,4.8476325384378125,26,15.023493681322513,17.54282508229751,6.1125412929994445,5.210882769565184,23.49954122772103,26,-55.4846913076923,-59.362921,17.410270989331956,-80.21379,-24.818008,26,-13.451502653846156,-14.430757499999999,5.6422654229709615,-20.820942,0.0,26,-24.139382273859574,-25.17031958268891,4.183531551648593,-31.357475970179213,-16.432902828292494,26,-23.672812576923075,-24.8223095,4.019239431435248,-30.344099,-16.368597,26,-0.15534506453908567,-0.1539117007917173,0.01748655691475101,-0.1877698910205982,-0.1260749155260807,26,3.626358492146825,3.271980249118876,1.728121644726391,2.3745293636040787,10.23652427934008,26,16.022018624115244,10.705866122118103,21.527617531576464,5.63838969861799,104.78642932151897,26,-56.43002196153846,-61.59786,15.928039043768779,-84.43018,-24.520504,26,14.168474776923079,19.49154,12.371831560750433,-15.132049,25.861078,26,-18.645268598264398,-18.41111616958763,3.556233778394023,-26.180358074099463,-11.389848957090882,26,-18.767642057692306,-18.262809,3.003402533803554,-25.568842,-13.618579,26,-0.21035133732704311,-0.1632536709242885,0.16021782372422816,-0.8987410033183288,-0.1249508454914248,26,5.4941136755951785,5.265368150299823,2.4976418096476203,2.6404718908190183,13.996607339886864,26,0.5831957233694576,0.6009443829109691,0.09564085849710408,0.4327610494122367,0.7540394323947142,26,44322993877.94231,1712009425.0,83272666222.70389,885843.5,331687400000.0,26,0.7762164742307692,0.7962395550000001,0.08647594379812024,0.4486585,0.8581825,26,0.7864030326923077,0.79685002,0.061804633068675924,0.5928695,0.858129,26,16.247276595484347,9.442520738675,20.717368729216187,0.223585840262,80.3452560183,26,148.64945901544885,80.65512152630001,153.76966070902313,5.26804259793,538.064702516
CLUSTER SEEPAGE,20,2.2,2.0,1.704483252453581,0,6,20,19.41064418375206,19.297211361519423,0.13765785051202867,19.28184254951689,19.57041557216132,20,-92.9487986075488,-92.97069372682017,0.04511407456495464,-93.02280463436564,-92.8877343319274,20,0.9591135595019609,0.3556640187407945,2.1496030023582278,0.0682990924085139,9.91483352203194,20,14.032100838433987,9.28629976759795,16.762409788024613,1.7410452807736003,77.90470683239359,20,263.29220975799103,231.58424199881148,161.587494419328,44.38182943300961,612.1276099245472,20,0.9921823917128254,0.7479165823611785,0.8411501799786947,0.0876223844459843,3.68499275177012,20,20.95212833028622,18.42888842815028,12.858724239335054,3.531793768862425,48.71156746125961,20,3.1372403902242594,3.1443414576656044,0.024086708149295238,3.053438217367742,3.157081412479114,20,7.380309597716723,7.394438744311232,0.05047344173958449,7.2345014993289265,7.433231874193864,20,14.068707488450695,13.977300432619328,0.6402965067499533,12.872746028013164,15.906786782258196,20,13.571205654507015,13.48096217056714,0.658867957524624,12.280810951134164,15.408638730052138,20,-2.767186884428752,-26.164464653277,28.2548552281175,-29.12177631085552,31.98998298390137,20,1.7838596929645725,16.657699170228284,17.92700524502497,-18.2680757541529,19.80763339911256,20,-11.216968282466992,-26.91967096170545,26.117204337835744,-31.06946031236485,29.94608977866116,20,0.07506345636081967,0.05427131972134605,0.062319355838935775,0.020529004754267,0.2831422403019006,20,24.211358783266085,25.675306835168605,6.541248406704216,7.857389300514231,34.38577487508527,20,3.4193206776238347,3.475349457403059,0.6079026756443412,2.5570280307892688,4.308866469075103,20,12.042822276328693,12.12809194904089,4.160493717937245,6.538392350242045,18.56633024831975,20,-41.692094,-40.5255425,12.572067976873846,-70.9803,-25.202942,20,-14.883359200000001,-13.634249,4.190830400172961,-21.050074,-9.746174,20,-22.043859828403335,-20.88296323258277,5.065271654349697,-31.384216502649508,-16.36095281862745,20,-21.522904099999998,-20.303972,4.919966967256321,-30.415209,-16.06097,20,-0.15740556282341478,-0.15853345056839854,0.017333028928466058,-0.1869348885179638,-0.128177578224636,20,2.7126653315511193,2.572357698527695,0.3687503657358821,2.2580811025363685,3.668082177343113,20,7.487731191618174,6.6176671060823065,2.1335090696830834,5.098930265631862,13.454826859742196,20,-42.15137355,-38.457228,17.362775967535057,-90.57781,-21.368105,20,-10.751601795000001,-9.0687605,4.318337341608444,-16.8657,-4.1363106,20,-18.163710778226804,-15.459528895447807,4.701985143401709,-25.794869472585574,-13.0371412647576,20,-17.849351525,-15.2137295,4.5765114905924955,-25.178646,-12.837602,20,-0.15407434498082467,-0.16075538607875944,0.020866700887668455,-0.1841038010074016,-0.1200445997606823,20,3.8801490501765286,3.3531533063745256,1.0722441316720932,2.5936831966861256,5.58934703006393,20,0.5125189054573709,0.5137536415514048,0.08573284037493228,0.3688864713652964,0.6386737325723384,20,287316455.0,6459034.0,1190435562.8739,36939.0,5342120000.0,20,0.8202912225000001,0.820940265,0.045156054491150524,0.7391344,0.89495975,20,0.8199453274999999,0.8219049599999999,0.045431573211640854,0.7371293,0.89417243,20,0.95911355950165,0.3556640187405,2.1496030023578254,0.0682990924084,9.91483352203,20,14.032100838427999,9.2862997676,16.76240978802367,1.74104528078,77.9047068324
IDENTIFIED TARGET,224,15.705357142857142,11.0,13.16036882063703,0,57,224,19.449956617380714,19.46230803449457,0.14214596394092263,18.84600279460162,19.71964177778201,224,-92.18564081863342,-92.19353987327193,0.157434212606809,-93.0260418185074,-91.84759900628195,224,0.8077806111342696,0.21016562729428784,2.3761757458447574,0.0101250711966773,25.17187335013415,224,14.204836385923388,6.153763235453471,29.85773033820283,0.8523571897623746,313.89362182357223,224,339.44935404245854,203.54250009791835,512.0125280910046,29.203205213670717,3914.257967653197,224,1.0495173429332776,0.7126252986666479,1.1477735938148024,0.0910169128071601,6.550231228206853,224,27.01252131260406,16.197397509933147,40.74466238533065,2.323917231941352,311.4867520444213,224,3.136229917550136,3.1459691185587526,0.02640837638758987,3.038148061664736,3.162082609312272,224,7.378618493416403,7.39812564620893,0.06108815630289043,7.138255125638505,7.440765155329216,224,14.45817286041755,14.464927779300375,0.9506750689287624,12.150301226048263,17.164124515444918,224,13.796488137369503,13.90090361239688,0.8894739996369588,11.413273292784044,16.422760159061006,224,8.011081680548775,26.538184705319885,27.17814596010312,-31.71337994678373,32.60640825294637,224,4.500550655097672,16.728612627315684,17.273329890285222,-21.45808024273672,21.25601165310844,224,2.0538728014421563,25.71077081887232,28.295582254699866,-31.686263262024934,32.131667466446395,224,0.08694149613926043,0.061738342723801354,0.07807684691777005,0.0032104094104695,0.4303079241615765,224,31.969121046760154,30.384484655652138,12.297812373582648,3.828640896708617,84.18283419499167,224,3.658379331242045,3.741710378698534,0.6426186808535499,2.2698833319026788,5.501961663295825,224,13.79485453430799,14.000398206122487,4.6299732505220454,5.152370340449606,30.27158214437696,224,-44.278441107142854,-41.96501,9.82480259015939,-77.78406,-26.27779,224,-16.929795667410712,-16.891967,3.1757352182416927,-24.63784,0.0,224,-24.2715946199129,-24.191978564102683,3.2541047009201605,-31.69956566800581,-15.810670166769611,224,-23.68869382589286,-23.636605000000003,3.099151539645874,-30.322634,-15.560224,224,-0.15066002671168996,-0.15041864566867796,0.017952492376670823,-0.2138625265250975,-0.1078200918002634,224,3.182867583282004,3.0334404829668076,0.6542762547793661,2.333172707954465,6.749815566056996,224,10.55681241037568,9.201763052842752,4.980165944335822,5.443694885143572,45.56001017578532,224,-43.209573125000006,-41.5602035,11.052012343527014,-92.55929,-24.780695,224,-3.6049885217857143,-9.545819,11.313910315221742,-18.773537,25.245335,224,-20.131539898424602,-19.809850470007042,2.779914424367591,-27.64255220898673,-12.80687878989402,224,-19.828316698660718,-19.554877,2.6936785487362256,-27.017075,-12.625086,224,-0.15839174623399963,-0.1526688627166316,0.025379846829113744,-0.2834196744456083,-0.1147805160342836,224,4.140054721488297,4.096465589868256,1.126728918153497,1.9712691615047329,7.23752284967059,224,0.5146556709922298,0.5132982830722943,0.08242011098465486,0.2907163225785579,0.7563072222693712,224,679799586.75,1636732.25,6453222366.74478,4592.0,90770375000.0,224,0.8301568891517856,0.833892705,0.037673124747120576,0.7128972,0.9230994,224,0.8312562498660715,0.8357678,0.03797198222751646,0.7141974,0.92872185,224,0.8077806111339665,0.2101656272945,2.3761757458420005,0.0101250711967,25.1718733501,224,14.204836385921157,6.1537632354500005,29.85773033820397,0.852357189762,313.893621824
ORPHAN SEEPAGE,12,2.75,2.5,1.815338686155987,1,7,12,19.50772549902116,19.486500165589497,0.19478845552247703,19.05862433723748,19.915224116985865,12,-92.6967168548854,-92.77405243318752,0.2522614644635033,-92.96319312881,-92.1144886733554,12,1.5704382856120755,0.4601973157137821,2.775057570556291,0.0873024410884624,9.385717251393498,12,21.729084412716052,13.299591614142615,32.72757011288022,4.12374377137166,123.5734296715936,12,410.4682585569332,276.83047243240213,433.35724358875245,89.82277062503414,1626.9819462687408,12,0.8703003416144903,0.8332493241621922,0.42195298264968634,0.1957108377235083,1.6543155525792854,12,32.66402616582905,22.02946904304073,34.48547372091426,7.147868973591838,129.47110953497128,12,3.132055254575679,3.1391002405912687,0.021694904415268182,3.070069385532491,3.151242788697492,12,7.364022190529493,7.370647247797379,0.05188977466621018,7.240540323285739,7.418857834948857,12,14.05284125314816,13.871108405840088,0.8648026576277634,12.671637094987538,15.183946365566095,12,13.403395923967603,13.273631465248352,0.7707241248901077,11.939987820333386,14.854224324294089,12,0.5654982429132106,0.5600303595736236,28.941040389375452,-29.88752022046045,29.881855174825244,12,2.652707959205102,16.438377880745243,18.09784190273313,-18.798735132576844,18.00222149694663,12,4.4308207548793375,26.054211676155745,28.238971290969513,-30.58007668612325,28.343596126176728,12,0.06018258002378929,0.046198034870759255,0.04364100719672125,0.007723730827609,0.1399018369942916,12,25.087172902351952,25.84565078673249,11.673172579274885,4.322360760985377,47.23514852457704,12,3.5773259199897,3.6437930831337435,0.4575695051393196,2.8565235192472302,4.266935385699322,12,12.98918310219414,13.303533064090704,3.262653416473562,8.15972661601258,18.206737585733023,12,-46.533119166666665,-41.7712075,11.239424533409819,-68.44761,-34.90619,12,-15.333719666666667,-14.8118525,1.9773252011247335,-20.057999,-13.19379,12,-22.49299182369541,-21.3649689927663,2.775473760472752,-29.216819570339016,-19.92589523900261,12,-21.93108116666667,-20.67978,2.7380892306554965,-28.750343,-19.500893,12,-0.159317732450549,-0.16142985018845668,0.012642298152860202,-0.1766496796629791,-0.1382498326258251,12,2.7820985263382787,2.7411194186865893,0.2473039515923011,2.487415001658836,3.3653200477894925,12,7.796134851020692,7.513835427241163,1.4540675205489357,6.187233390477428,11.325379024053872,12,-43.384888999999994,-42.0451865,8.263454258878722,-63.373783,-28.076017,12,-11.500819791666666,-11.1810095,1.960666303530436,-16.345232,-8.327501,12,-18.611984749074562,-18.303057788146454,2.32384548658623,-24.66710923083847,-15.37387281232214,12,-18.283460916666666,-17.9786115,2.267008467082613,-24.229816,-15.187147,12,-0.15037540962942605,-0.150070211136271,0.01147490928531729,-0.1677655772293843,-0.1280502246420638,12,3.88100707462085,3.882295844028925,1.1211957858415342,2.360874118496369,5.573877882574884,12,0.4925235409666879,0.48212485334924626,0.10016198886423414,0.3554203961314774,0.6481812040729833,12,140170706.25,9575253.0,398965077.7362182,445123.5,1395791400.0,12,0.8283074199999999,0.837834,0.042631236002691524,0.7630947,0.88573855,12,0.8271964083333333,0.835610805,0.0429646284006589,0.76170796,0.8871096,12,1.5704382856117916,0.460197315714,2.775057570555315,0.0873024410885,9.38571725139,12,21.729084412754165,13.29959161415,32.72757011299409,4.12374377137,123.573429672
UNIDENTIFIED TARGET,103,25.961165048543688,26.0,15.267498690892804,1,60,103,19.457933035955776,19.50967726417526,0.19026932785354858,18.919845155935214,19.9112977545545,103,-92.2800313552746,-92.2321170276692,0.21800852680073018,-92.98066059784136,-91.9158023952439,103,0.48124506902597963,0.1604487968551095,0.9658325370548176,0.0266149204578738,5.811144423904265,103,9.169443536673892,4.628143359369139,12.305300320832837,0.9296691653816476,71.8337942191529,103,229.00648928145694,122.61371722479092,303.1740025827528,24.06151455113246,1928.6681380346056,103,1.1120863101276357,0.8787251835645404,1.0546801257511185,0.0533127447701596,8.770207510297526,103,18.22375738463251,9.757289593598673,24.12582056400008,1.9147544895451487,153.4785338760247,103,3.123421971383998,3.13247593498312,0.03144563080469308,3.0007096144962926,3.16051105776293,103,7.347165284087069,7.359686908504916,0.06900575266634719,7.11540506410727,7.440122921074663,103,14.198937835233146,14.0775992702989,0.9911265125678012,12.534601014433028,16.871922792888498,103,13.595811274375992,13.513269062361363,0.9986697048111672,11.844473787288738,16.26345422378418,103,6.432328451452521,25.5609114066373,27.21819977206968,-31.25666339932149,32.78294368942213,103,2.4515156839984646,16.04015517135389,17.614802722051905,-22.718731885390344,20.94479390085288,103,-2.1312750114171304,-24.948087352875007,27.92386857453193,-32.45704753207162,31.14261005953645,103,0.13040322150670827,0.1024874777372658,0.11059010038470149,0.0065155691466779,0.5222601672747875,103,28.822801783682813,28.532198655698327,11.040039322550816,5.598998192506154,58.72088666433818,103,3.9226525116693316,3.8624892401130775,0.6728579065439776,2.3056307310163864,7.135541771847177,103,15.83554497744816,14.918823129989295,6.04280001448476,5.315933067807156,50.91595637777596,103,-45.595389184466015,-43.602573,8.118840640232628,-69.08178,-28.605282,103,-17.118640708737864,-17.289595,3.255446832566064,-24.30028,0.0,103,-24.89291611436391,-24.65563373447205,2.509176270240154,-31.606980178886925,-16.97247314453125,103,-24.292642097087377,-24.12328,2.4866422536890647,-30.93213,-16.730217,103,-0.1579268442222259,-0.1587346420688445,0.02393720751323522,-0.2630229142624444,-0.1053246038622162,103,3.0774221524253424,3.0453428729508207,0.44773398300132133,2.1865198005978157,4.635852305884651,103,9.669046554650764,9.274113213832358,2.984513643504109,4.78086883840631,21.49112660197603,103,-43.45285401941747,-42.196705,9.889116471701202,-69.81426,-26.240381,103,-11.199397676213593,-13.043481,6.872992730806267,-19.660446,15.96758,103,-20.60503822526192,-20.265012582994217,2.378795778617845,-27.176573969127805,-14.432932354362531,103,-20.23263249514563,-19.88238,2.313706210596222,-26.673206,-14.199367,103,-0.14965392606675076,-0.1487964687974932,0.01696650161353919,-0.2491438185575988,-0.118555786683218,103,4.2878778891019875,4.302545954651734,1.0509406031207542,1.9766519236010185,7.306173833039715,103,0.5236029074481949,0.5229250453065839,0.0846447474231125,0.349275660850132,0.7340226713142985,103,24313727.13106796,778855.0,82368183.51374608,5934.0,637825150.0,103,0.8276564611650485,0.8254646,0.03911838713619084,0.7131141,0.91806775,103,0.8265406116504855,0.8248465,0.03948175283746384,0.71303684,0.922087,103,0.48124506902579806,0.160448796855,0.9658325370540997,0.0266149204579,5.8111444239,103,9.169443536674388,4.62814335937,12.305300320834299,0.929669165381,71.8337942192
