SUBCLASSE,COMPLEX_MEAS,SPREAD,SHP_FACT,HU_MOM1,HU_MOM2,HU_MOM3,HU_MOM4,HU_MOM5,HU_MOM6,HU_MOM7,CIRCULARITY,PERI_AREA_RATIO,FG_STD,FG_VAR,FG_MIN,FG_MAX,FG_MEAN,FG_MEDIAN,FG_VAR_COEF,BG_STD,BG_VAR,BG_MIN,BG_MAX,BG_MEAN,BG_MEDIAN,BG_VAR_COEF,FG_DARK_INTENS,FG_BG_KS_STAT,FG_BG_MW_STAT,FG_BG_RAT_ARI,FG_BG_RAT_QUA
CANTAREL,1613.0068541661067,0.7427868357413658,128.3590070408219,3.143730780296582,7.396387423377563,14.426201159032093,13.980007907345264,-8.923552757144599,1.2666902206502058,-4.281359141909489,0.017143777920242794,16.043077359043117,3.780477897312053,15.023493681322513,-55.4846913076923,-13.451502653846156,-24.139382273859574,-23.672812576923075,-0.15534506453908567,3.626358492146825,16.022018624115244,-56.43002196153846,14.168474776923079,-18.645268598264398,-18.767642057692306,-0.21035133732704311,5.4941136755951785,0.5831957233694576,44322993877.94231,0.7762164742307692,0.7864030326923077
CLUSTER SEEPAGE,263.29220975799103,0.9921823917128254,20.95212833028622,3.1372403902242594,7.380309597716723,14.068707488450695,13.571205654507015,-2.767186884428752,1.7838596929645725,-11.216968282466992,0.07506345636081967,24.211358783266085,3.4193206776238347,12.042822276328693,-41.692094,-14.883359200000001,-22.043859828403335,-21.522904099999998,-0.15740556282341478,2.7126653315511193,7.487731191618174,-42.15137355,-10.751601795000001,-18.163710778226804,-17.849351525,-0.15407434498082467,3.8801490501765286,0.5125189054573709,287316455.0,0.8202912225000001,0.8199453274999999
IDENTIFIED TARGET,339.44935404245854,1.0495173429332776,27.01252131260406,3.136229917550136,7.378618493416403,14.45817286041755,13.796488137369503,8.011081680548775,4.500550655097672,2.0538728014421563,0.08694149613926043,31.969121046760154,3.658379331242045,13.79485453430799,-44.278441107142854,-16.929795667410712,-24.2715946199129,-23.68869382589286,-0.15066002671168996,3.182867583282004,10.55681241037568,-43.209573125000006,-3.6049885217857143,-20.131539898424602,-19.828316698660718,-0.15839174623399963,4.140054721488297,0.5146556709922298,679799586.75,0.8301568891517856,0.8312562498660715
ORPHAN SEEPAGE,410.4682585569332,0.8703003416144903,32.66402616582905,3.132055254575679,7.364022190529493,14.05284125314816,13.403395923967603,0.5654982429132106,2.652707959205102,4.4308207548793375,0.06018258002378929,25.087172902351952,3.5773259199897,12.98918310219414,-46.533119166666665,-15.333719666666667,-22.49299182369541,-21.93108116666667,-0.159317732450549,2.7820985263382787,7.796134851020692,-43.384888999999994,-11.500819791666666,-18.611984749074562,-18.283460916666666,-0.15037540962942605,3.88100707462085,0.4925235409666879,140170706.25,0.8283074199999999,0.8271964083333333
UNIDENTIFIED TARGET,229.00648928145694,1.1120863101276357,18.22375738463251,3.123421971383998,7.347165284087069,14.198937835233146,13.595811274375992,6.432328451452521,2.4515156839984646,-2.1312750114171304,0.13040322150670827,28.822801783682813,3.9226525116693316,15.83554497744816,-45.595389184466015,-17.118640708737864,-24.89291611436391,-24.292642097087377,-0.1579268442222259,3.0774221524253424,9.669046554650764,-43.45285401941747,-11.199397676213593,-20.60503822526192,-20.23263249514563,-0.14965392606675076,4.2878778891019875,0.5236029074481949,24313727.13106796,0.8276564611650485,0.8265406116504855
