,IDX_POLY,IDX_POLY,IDX_POLY,IDX_POLY,IDX_POLY,IDX_POLY,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LAT,CENTR_KM_LON,CENTR_KM_LON,CENTR_KM_LON,CENTR_KM_LON,CENTR_KM_LON,CENTR_KM_LON,AREA_KM2,AREA_KM2,AREA_KM2,AREA_KM2,AREA_KM2,AREA_KM2,PERIM_KM,PERIM_KM,PERIM_KM,PERIM_KM,PERIM_KM,PERIM_KM,COMPLEX_MEAS,COMPLEX_MEAS,COMPLEX_MEAS,COMPLEX_MEAS,COMPLEX_MEAS,COMPLEX_MEAS,SPREAD,SPREAD,SPREAD,SPREAD,SPREAD,SPREAD,SHP_FACT,SHP_FACT,SHP_FACT,SHP_FACT,SHP_FACT,SHP_FACT,HU_MOM1,HU_MOM1,HU_MOM1,HU_MOM1,HU_MOM1,HU_MOM1,HU_MOM2,HU_MOM2,HU_MOM2,HU_MOM2,HU_MOM2,HU_MOM2,HU_MOM3,HU_MOM3,HU_MOM3,HU_MOM3,HU_MOM3,HU_MOM3,HU_MOM4,HU_MOM4,HU_MOM4,HU_MOM4,HU_MOM4,HU_MOM4,HU_MOM5,HU_MOM5,HU_MOM5,HU_MOM5,HU_MOM5,HU_MOM5,HU_MOM6,HU_MOM6,HU_MOM6,HU_MOM6,HU_MOM6,HU_MOM6,HU_MOM7,HU_MOM7,HU_MOM7,HU_MOM7,HU_MOM7,HU_MOM7,CIRCULARITY,CIRCULARITY,CIRCULARITY,CIRCULARITY,CIRCULARITY,CIRCULARITY,PERI_AREA_RATIO,PERI_AREA_RATIO,PERI_AREA_RATIO,PERI_AREA_RATIO,PERI_AREA_RATIO,PERI_AREA_RATIO,FG_STD,FG_STD,FG_STD,FG_STD,FG_STD,FG_STD,FG_VAR,FG_VAR,FG_VAR,FG_VAR,FG_VAR,FG_VAR,FG_MIN,FG_MIN,FG_MIN,FG_MIN,FG_MIN,FG_MIN,FG_MAX,FG_MAX,FG_MAX,FG_MAX,FG_MAX,FG_MAX,FG_MEAN,FG_MEAN,FG_MEAN,FG_MEAN,FG_MEAN,FG_MEAN,FG_MEDIAN,FG_MEDIAN,FG_MEDIAN,FG_MEDIAN,FG_MEDIAN,FG_MEDIAN,FG_VAR_COEF,FG_VAR_COEF,FG_VAR_COEF,FG_VAR_COEF,FG_VAR_COEF,FG_VAR_COEF,BG_STD,BG_STD,BG_STD,BG_STD,BG_STD,BG_STD,BG_VAR,BG_VAR,BG_VAR,BG_VAR,BG_VAR,BG_VAR,BG_MIN,BG_MIN,BG_MIN,BG_MIN,BG_MIN,BG_MIN,BG_MAX,BG_MAX,BG_MAX,BG_MAX,BG_MAX,BG_MAX,BG_MEAN,BG_MEAN,BG_MEAN,BG_MEAN,BG_MEAN,BG_MEAN,BG_MEDIAN,BG_MEDIAN,BG_MEDIAN,BG_MEDIAN,BG_MEDIAN,BG_MEDIAN,BG_VAR_COEF,BG_VAR_COEF,BG_VAR_COEF,BG_VAR_COEF,BG_VAR_COEF,BG_VAR_COEF,FG_DARK_INTENS,FG_DARK_INTENS,FG_DARK_INTENS,FG_DARK_INTENS,FG_DARK_INTENS,FG_DARK_INTENS,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_KS_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_MW_STAT,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_ARI,FG_BG_RAT_QUA,FG_BG_RAT_QUA,FG_BG_RAT_QUA,FG_BG_RAT_QUA,FG_BG_RAT_QUA,FG_BG_RAT_QUA,AREA_KM_DS,AREA_KM_DS,AREA_KM_DS,AREA_KM_DS,AREA_KM_DS,AREA_KM_DS,PERIM_KM_DS,PERIM_KM_DS,PERIM_KM_DS,PERIM_KM_DS,PERIM_KM_DS,PERIM_KM_DS
,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max
CLASSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIL SPILL,327,18.93577981651376,15.0,14.6345724140742,0,60,327,19.45246906726827,19.486224968725185,0.15862674215678793,18.84600279460162,19.9112977545545,327,-92.21537239439502,-92.2053862871993,0.18372116170897557,-93.0260418185074,-91.84759900628195,327,0.7049269082683557,0.2002514316294839,2.0438274071378033,0.0101250711966773,25.17187335013415,327,12.61876463218425,5.543227624962719,25.742638638070943,0.8523571897623746,313.89362182357223,327,304.661540371562,180.8247974189866,459.0496722686912,24.06151455113246,3914.257967653197,327,1.0692256108874638,0.7418672240309384,1.1180512995835161,0.0533127447701596,8.770207510297526,327,24.244195060062562,14.389580171411158,36.53001223313836,1.9147544895451487,311.4867520444213,327,3.1321956103479582,3.14236659827229,0.028669659369599265,3.0007096144962926,3.162082609312272,327,7.368711213413586,7.387821179675217,0.06524348026430458,7.11540506410727,7.440765155329216,327,14.376517791322767,14.320468733055195,0.9696040990848136,12.150301226048263,17.164124515444918,327,13.733277993980108,13.808986666674002,0.9284193467253338,11.413273292784044,16.422760159061006,327,7.513798553341087,26.22198994002104,27.158920566244518,-31.71337994678373,32.78294368942213,327,3.8551359700113776,16.560716801106967,17.380704019017536,-22.718731885390344,21.25601165310844,327,0.7356152334773044,24.992949996352884,28.203482465963578,-32.45704753207162,32.131667466446395,327,0.10063127507763085,0.0694947307765638,0.09168095979546985,0.0032104094104695,0.5222601672747875,327,30.978078587748026,30.098329515187647,11.988765754411611,3.828640896708617,84.18283419499167,327,3.741621342202322,3.807898375427143,0.6627622772594118,2.2698833319026788,7.135541771847177,327,14.437640820679357,14.500090037580676,5.19520028689537,5.152370340449606,50.91595637777596,327,-44.6932596146789,-42.590836,9.328895472157175,-77.78406,-26.27779,327,-16.98927896788991,-17.049156,3.1972601853008116,-24.63784,0.0,327,-24.467301390336306,-24.39940082596009,3.0490958109641726,-31.69956566800581,-15.810670166769611,327,-23.878928296636087,-23.83718,2.9298016992959797,-30.93213,-15.560224,327,-0.15294896311409117,-0.1540893779952016,0.020277366396924512,-0.2630229142624444,-0.1053246038622162,327,3.149653884877612,3.0364740921671194,0.5982932464291887,2.1865198005978157,6.749815566056996,327,10.277179740223795,9.220174912402133,4.4635580395494925,4.78086883840631,45.56001017578532,327,-43.286202886850155,-41.66397,10.6848329344197,-92.55929,-24.780695,327,-5.997111282966361,-11.442151,10.715600023206402,-19.660446,25.245335,327,-20.28068463134278,-20.011622619302376,2.665578243602604,-27.64255220898673,-12.80687878989402,327,-19.955669992354743,-19.697666,2.5833532138830053,-27.017075,-12.625086,327,-0.15563946648712917,-0.1514803720205633,0.023392579754745454,-0.2834196744456083,-0.1147805160342836,327,4.186616758993527,4.157204556627338,1.1039539562353833,1.9712691615047329,7.306173833039715,327,0.5174739136679618,0.5178644477978124,0.08310143698817249,0.2907163225785579,0.7563072222693712,327,473331563.68960243,1383272.0,5346186381.604655,4592.0,90770375000.0,327,0.8293692925688074,0.8313788,0.038091848653082724,0.7128972,0.9230994,327,0.8297708959327217,0.8325847,0.038455807316274494,0.71303684,0.92872185,327,0.7049269082680908,0.20025143163,2.0438274071355,0.0101250711967,25.1718733501,327,12.618764632182879,5.54322762497,25.74263863807193,0.852357189762,313.893621824
SEEPAGE SLICK,58,1.4827586206896552,1.0,1.749600248180467,0,7,58,19.41356459227808,19.38632012419143,0.133209078651546,19.05862433723748,19.915224116985865,58,-92.54012634710539,-92.68687919902739,0.399052908823795,-93.02280463436564,-91.96512500793612,58,7.938909001722891,1.0156328853685803,15.760561943356622,0.0682990924085139,80.34525601831258,58,75.9702924848724,21.36562781430287,122.66193903338389,1.7410452807736003,538.0647025163464,58,898.7869225200309,436.94961006193034,1107.4967415581468,44.38182943300961,4852.266523793549,58,0.8551674079811362,0.6398137225109108,0.6780816206158591,0.0876223844459843,3.68499275177012,58,71.52319075270762,34.7713451617162,88.13179043857318,3.531793768862425,386.13110123053553,58,3.1390770887431803,3.1438661155505017,0.02078638598904701,3.053438217367742,3.159465647178527,58,7.384147090491466,7.400480660423378,0.049632913107996016,7.2345014993289265,7.435580001706989,58,14.225680602441832,14.238720466941576,0.7347808617457283,12.671637094987538,15.906786782258196,58,13.719742582219455,13.681288862184287,0.7551572933072542,11.939987820333386,15.441464730118646,58,-4.837416042403036,-26.17155190928753,27.902242054112673,-30.6693171165423,31.98998298390137,58,1.7317868121837592,16.629715143917334,17.86465930142731,-19.430594401324477,19.80763339911256,58,-4.870428522076457,-26.75343359329668,27.884729536711497,-31.99616615515912,31.320460771440302,58,0.046020660576347884,0.028759563047562102,0.050650118081809754,0.002589793976225,0.2831422403019006,58,20.730918307390798,21.246760003821016,9.783469160175825,4.322360760985377,47.23514852457704,58,3.6139094814218358,3.8090731372551727,0.723510660846924,2.2827358080963256,4.8476325384378125,58,13.57478411150498,14.509047724155275,5.105343755559437,5.210882769565184,23.49954122772103,58,-48.876573862068966,-45.5908355,15.78594459695723,-80.21379,-24.818008,58,-14.3346705,-14.413597,4.60903588056529,-21.050074,0.0,58,-23.07615582022001,-22.5716340829861,4.321614676298692,-31.384216502649508,-16.36095281862745,58,-22.571106603448275,-21.8948555,4.1983472964205015,-30.415209,-16.06097,58,-0.1568775124808812,-0.15654819402012193,0.016356195044472926,-0.1877698910205982,-0.1260749155260807,58,3.1366174093603307,2.8670370026220695,1.2513525135801682,2.2580811025363685,10.23652427934008,58,11.377253901234624,8.219910914882064,14.934407014111615,5.098930265631862,104.78642932151897,58,-48.807357068965516,-46.326592000000005,16.52810296987851,-90.57781,-21.368105,58,0.26445639310344854,-7.751849699999999,15.296858296167185,-16.8657,25.861078,58,-18.472327863936293,-18.17284887111657,3.742955921081756,-26.180358074099463,-11.389848957090882,58,-18.35081474137931,-17.966172,3.4782256964460347,-25.568842,-12.837602,58,-0.17853666527021944,-0.1603226036438764,0.11076024646912021,-0.8987410033183288,-0.1200445997606823,58,4.603827956283714,4.100367600064828,2.004290905469121,2.360874118496369,13.996607339886864,58,0.5400646449716133,0.5305149483508473,0.09994323477618941,0.3554203961314774,0.7540394323947142,58,19997003765.543102,36691343.0,59423201206.99434,36939.0,331687400000.0,58,0.8021921003448276,0.81738475,0.06983249731762753,0.4486585,0.89495975,58,0.80640935,0.8178736,0.05529405353308057,0.5928695,0.89417243,58,7.938909001723578,1.015632885368,15.76056194335676,0.0682990924084,80.3452560183,58,75.97029248488414,21.365627814299998,122.66193903342148,1.74104528078,538.064702516
