CLASSE,CANTAREL,CLUSTER SEEPAGE,IDENTIFIED TARGET,ORPHAN SEEPAGE,UNIDENTIFIED TARGET
OIL SPILL,0,0,243,0,106
SEEPAGE SLICK,26,22,0,12,0
