CLASSE,CANTAREL,CLUSTER SEEPAGE,IDENTIFIED TARGET,ORPHAN SEEPAGE,UNIDENTIFIED TARGET
OIL SPILL,0.0,0.0,69.63,0.0,30.37
SEEPAGE SLICK,43.33,36.67,0.0,20.0,0.0
